timestamp,temp_C,pressure_Pa,bmp_alt_m,lat,lon,gps_alt_m,speed_kmh,course_deg,heater,rssi_dBm,raw
2026-05-21T09:01:32,33.9,100239,90.6,21.445501,106.691960,54.0,0.1,0.0,OFF,-95,33.9|100239|90.6|21.445501|106.691960|54.0|0.1|0.0|OFF
2026-05-21T09:01:40,33.9,100244,90.5,21.445467,106.691960,60.1,0.4,0.0,OFF,-94,33.9|100244|90.5|21.445467|106.691960|60.1|0.4|0.0|OFF
2026-05-21T09:01:47,33.9,100245,90.3,21.445471,106.691960,54.5,0.1,0.0,OFF,-93,33.9|100245|90.3|21.445471|106.691960|54.5|0.1|0.0|OFF
2026-05-21T09:01:54,33.9,100240,90.9,21.445478,106.691960,56.2,0.3,0.0,OFF,-97,33.9|100240|90.9|21.445478|106.691960|56.2|0.3|0.0|OFF
2026-05-21T09:02:01,33.9,100234,90.5,21.445480,106.691960,56.9,0.4,0.0,OFF,-98,33.9|100234|90.5|21.445480|106.691960|56.9|0.4|0.0|OFF
2026-05-21T09:02:08,34.0,100244,90.1,21.445475,106.691970,56.7,0.3,0.0,OFF,-93,34.0|100244|90.1|21.445475|106.691970|56.7|0.3|0.0|OFF
2026-05-21T09:02:15,34.1,100241,90.0,21.445490,106.691960,58.0,2.9,323.9,OFF,-94,34.1|100241|90.0|21.445490|106.691960|58.0|2.9|323.9|OFF
2026-05-21T09:02:22,34.2,100229,91.0,21.445585,106.691890,59.5,9.8,329.3,OFF,-94,34.2|100229|91.0|21.445585|106.691890|59.5|9.8|329.3|OFF
2026-05-21T09:02:29,34.3,100223,92.2,21.445791,106.691760,60.3,15.3,327.0,OFF,-94,34.3|100223|92.2|21.445791|106.691760|60.3|15.3|327.0|OFF
2026-05-21T09:02:36,34.4,100215,92.6,21.445976,106.691560,60.3,14.5,304.3,OFF,-93,34.4|100215|92.6|21.445976|106.691560|60.3|14.5|304.3|OFF
2026-05-21T09:02:43,34.5,100227,91.5,21.446098,106.691340,60.2,13.5,300.8,OFF,-94,34.5|100227|91.5|21.446098|106.691340|60.2|13.5|300.8|OFF
2026-05-21T09:02:50,34.7,100237,91.2,21.446222,106.691150,60.3,9.1,304.9,OFF,-100,34.7|100237|91.2|21.446222|106.691150|60.3|9.1|304.9|OFF
2026-05-21T09:07:31,36.0,100257,88.7,21.446314,106.691990,59.0,1.1,330.4,OFF,-110,36.0|100257|88.7|21.446314|106.691990|59.0|1.1|330.4|OFF
2026-05-21T09:07:52,36�4,1��>��w��P�j�)�6��=3b���,����X�%���+`@g��M�4,N/A,N/A,N/A,N/A,N/A,N/A,-114,36�4|1��>��w��P�j�)�6��=3b���|����X�%���+`@g��M�4
2026-05-21T09:08:20,36.9,100261,88.7,21.446325,106.691990,60.0,0.1,330.4,OFF,-115,36.9|100261|88.7|21.446325|106.691990|60.0|0.1|330.4|OFF
2026-05-21T09:08:27,37.1,100258,89.1,21.446325,106.691990,60.6,0.3,330.4,OFF,-115,37.1|100258|89.1|21.446325|106.691990|60.6|0.3|330.4|OFF
2026-05-21T09:08:34,37.2,100260,89.1,21.446327,106.691990,60.9,0.2,330.4,OFF,-83,37.2|100260|89.1|21.446327|106.691990|60.9|0.2|330.4|OFF
2026-05-21T09:08:41,37.3,100257,89.0,21.446329,106.691990,61.0,0.1,330.4,OFF,-69,37.3|100257|89.0|21.446329|106.691990|61.0|0.1|330.4|OFF
2026-05-21T09:08:48,37.4,100264,88.9,21.446327,106.691990,60.7,0.0,330.4,OFF,-69,37.4|100264|88.9|21.446327|106.691990|60.7|0.0|330.4|OFF
2026-05-21T09:08:55,37.6,100259,88.5,21.446323,106.692000,60.7,0.2,330.4,OFF,-81,37.6|100259|88.5|21.446323|106.692000|60.7|0.2|330.4|OFF
2026-05-21T09:09:02,37.7,100259,89.0,21.446323,106.691990,60.8,0.0,330.4,OFF,-75,37.7|100259|89.0|21.446323|106.691990|60.8|0.0|330.4|OFF
2026-05-21T09:09:09,37.8,100260,89.4,21.446325,106.691990,61.2,0.2,330.4,OFF,-72,37.8|100260|89.4|21.446325|106.691990|61.2|0.2|330.4|OFF
2026-05-21T09:09:16,37.9,100255,89.4,21.446325,106.692000,60.9,0.1,330.4,OFF,-78,37.9|100255|89.4|21.446325|106.692000|60.9|0.1|330.4|OFF
2026-05-21T09:09:23,38.1,100257,89.5,21.446318,106.692010,61.2,0.1,330.4,OFF,-75,38.1|100257|89.5|21.446318|106.692010|61.2|0.1|330.4|OFF
2026-05-21T09:09:30,38.2,100264,89.3,21.446316,106.692010,60.7,0.2,330.4,OFF,-72,38.2|100264|89.3|21.446316|106.692010|60.7|0.2|330.4|OFF
2026-05-21T09:09:37,38.3,100258,89.2,21.446316,106.692010,60.4,0.3,330.4,OFF,-75,38.3|100258|89.2|21.446316|106.692010|60.4|0.3|330.4|OFF
2026-05-21T09:09:44,38.4,100252,89.2,21.446318,106.692010,60.5,0.1,330.4,OFF,-81,38.4|100252|89.2|21.446318|106.692010|60.5|0.1|330.4|OFF
2026-05-21T09:09:51,38.5,100255,89.2,21.446321,106.691990,60.5,0.1,330.4,OFF,-64,38.5|100255|89.2|21.446321|106.691990|60.5|0.1|330.4|OFF
2026-05-21T09:09:58,38.6,100259,89.5,21.446323,106.691990,60.4,0.3,330.4,OFF,-65,38.6|100259|89.5|21.446323|106.691990|60.4|0.3|330.4|OFF
2026-05-21T09:10:05,38.7,100257,89.3,21.446327,106.691990,60.5,0.0,330.4,OFF,-69,38.7|100257|89.3|21.446327|106.691990|60.5|0.0|330.4|OFF
2026-05-21T09:10:12,38.9,100258,89.4,21.446329,106.691990,60.8,0.2,330.4,OFF,-73,38.9|100258|89.4|21.446329|106.691990|60.8|0.2|330.4|OFF
2026-05-21T09:10:19,39.0,100253,89.3,21.446327,106.691990,60.1,0.3,330.4,OFF,-67,39.0|100253|89.3|21.446327|106.691990|60.1|0.3|330.4|OFF
2026-05-21T09:10:26,39.1,100251,90.0,21.446310,106.692000,59.6,1.8,56.1,OFF,-54,39.1|100251|90.0|21.446310|106.692000|59.6|1.8|56.1|OFF
2026-05-21T09:10:33,39.2,100245,89.9,21.446304,106.691990,59.9,0.2,56.1,OFF,-53,39.2|100245|89.9|21.446304|106.691990|59.9|0.2|56.1|OFF
2026-05-21T09:10:40,39.3,100250,90.0,21.446302,106.691990,60.3,0.4,56.1,OFF,-51,39.3|100250|90.0|21.446302|106.691990|60.3|0.4|56.1|OFF
2026-05-21T09:10:47,39.4,100245,90.1,21.446304,106.691990,60.1,0.1,56.1,OFF,-50,39.4|100245|90.1|21.446304|106.691990|60.1|0.1|56.1|OFF
2026-05-21T09:10:54,39.5,100252,89.7,21.446302,106.691990,61.1,0.4,56.1,OFF,-71,39.5|100252|89.7|21.446302|106.691990|61.1|0.4|56.1|OFF
